,picture,name,author,price,score,sum
123,https://img9.doubanio.com/view/subject/s/public/s4444885.jpg,金色梦乡,[日] 伊坂幸太郎 ,[日] 伊坂幸太郎 ,9.0,伊坂幸太郎代表作
124,https://img1.doubanio.com/view/subject/s/public/s33516550.jpg,茶馆,老舍 ,老舍 ,9.2,清末、民初、抗战胜利以后三个历史时期的北京生活风貌
125,https://img1.doubanio.com/view/subject/s/public/s29746559.jpg,小径分岔的花园,[阿根廷] 豪·路·博尔赫斯 ,[阿根廷] 豪·路·博尔赫斯 ,8.9,一个谜语，谜底正是时间
126,https://img9.doubanio.com/view/subject/s/public/s1077996.jpg,少年凯歌,人民文学出版社 ,人民文学出版社 ,9.4,
127,https://img1.doubanio.com/view/subject/s/public/s1201610.jpg,人间草木,汪曾祺 ,汪曾祺 ,9.2,我就是要这样香，香得痛痛快快
128,https://img9.doubanio.com/view/subject/s/public/s28561075.jpg,面纱,[英] 威廉·萨默塞特·毛姆 ,[英] 威廉·萨默塞特·毛姆 ,9.1,
129,https://img1.doubanio.com/view/subject/s/public/s1121598.jpg,昨日的世界:一个欧洲人的回忆,[奥] 斯蒂芬·茨威格 ,[奥] 斯蒂芬·茨威格 ,9.2,一个高贵而残破的昨日镜像
130,https://img9.doubanio.com/view/subject/s/public/s33492346.jpg,你当像鸟飞往你的山,塔拉·韦斯特弗 ,塔拉·韦斯特弗 ,8.7,我来自一个极少有人能想象的家庭，教育给了我新世界
131,https://img1.doubanio.com/view/subject/s/public/s29878650.jpg,遥远的向日葵地,李娟 ,李娟 ,9.1,
132,https://img1.doubanio.com/view/subject/s/public/s27598249.jpg,故事:材质·结构·风格和银幕剧作的原理,[美] 罗伯特·麦基 ,[美] 罗伯特·麦基 ,9.2,材质、结构、风格和银幕剧作的原理
133,https://img9.doubanio.com/view/subject/s/public/s3675595.jpg,绿毛水怪,王小波 ,王小波 ,9.1,我们好象在池塘的水底，从一个月亮走向另一个月亮
134,https://img9.doubanio.com/view/subject/s/public/s1785715.jpg,经济学原理（上下）,[美] 曼昆 ,[美] 曼昆 ,9.1,经济学家们的世界观
135,https://img1.doubanio.com/view/subject/s/public/s33699260.jpg,1367:陳浩基作品2,陳浩基 ,陳浩基 ,9.1,
136,https://img9.doubanio.com/view/subject/s/public/s4133656.jpg,海的女儿,安徒生 ,安徒生 ,9.1,
137,https://img9.doubanio.com/view/subject/s/public/s6795555.jpg,國史大綱（上下）,錢穆 ,錢穆 ,9.4,钱穆中国通史
138,https://img1.doubanio.com/view/subject/s/public/s6185540.jpg,阿勒泰的角落,李娟 ,李娟 ,9.1,白雪和阳光，青草和白桦林
139,https://img1.doubanio.com/view/subject/s/public/s2611329.jpg,一个陌生女人的来信,[奥] 斯蒂芬·茨威格 ,[奥] 斯蒂芬·茨威格 ,8.7,暗恋的极致
140,https://img1.doubanio.com/view/subject/s/public/s29738720.jpg,长日将尽,[英] 石黑一雄 ,[英] 石黑一雄 ,8.9,
141,https://img1.doubanio.com/view/subject/s/public/s29164777.jpg,我的天才女友:那不勒斯四部曲1,[意] 埃莱娜·费兰特 ,[意] 埃莱娜·费兰特 ,8.7,“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
142,https://img2.doubanio.com/view/subject/s/public/s33968312.jpg,鹿川有许多粪,李沧东 ,李沧东 ,9.0,
143,https://img2.doubanio.com/view/subject/s/public/s3697882.jpg,一句顶一万句,刘震云 ,刘震云 ,8.8,一句胜过千年
144,https://img1.doubanio.com/view/subject/s/public/s3042670.jpg,苏菲的世界,[挪] 乔斯坦·贾德 ,[挪] 乔斯坦·贾德 ,8.8,哲学启蒙书
145,https://img2.doubanio.com/view/subject/s/public/s28330151.jpg,全球通史(上):从史前史到21世纪,[美]斯塔夫里阿诺斯 ,[美]斯塔夫里阿诺斯 ,9.2,
146,https://img2.doubanio.com/view/subject/s/public/s1099483.jpg,万水千山走遍,三毛 ,三毛 ,8.9,从遥远的撒哈拉到敦煌戈壁
147,https://img2.doubanio.com/view/subject/s/public/s5988251.jpg,德米安:埃米尔·辛克莱的彷徨少年时,[德] 赫尔曼·黑塞 ,[德] 赫尔曼·黑塞 ,8.9,少年辛克莱寻找通向自身之路的艰辛历程
148,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg,爱的艺术,[美] 艾·弗洛姆 ,[美] 艾·弗洛姆 ,8.8,谦恭地、勇敢地、真诚地和有纪律地爱他人
149,https://img2.doubanio.com/view/subject/s/public/s6974202.jpg,史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 ,[美] 沃尔特·艾萨克森 ,8.7,完美主义者的最高形态
150,https://img1.doubanio.com/view/subject/s/public/s2391798.jpg,温柔的夜,三毛 ,三毛 ,9.1,三毛在加纳利群岛的生活
151,https://img1.doubanio.com/view/subject/s/public/s9950828.jpg,亮剑,都梁 ,都梁 ,9.0,面对强大的对手，明知不敌，也要毅然亮剑
152,https://img2.doubanio.com/view/subject/s/public/s28313152.jpg,我不知道该说什么，关于死亡还是爱情:来自切尔诺贝利的声音,[白俄] S·A·阿列克谢耶维奇 ,[白俄] S·A·阿列克谢耶维奇 ,9.1,真实记录切尔诺贝利核灾难事件
153,https://img1.doubanio.com/view/subject/s/public/s27914268.jpg,强风吹拂,三浦紫苑 ,三浦紫苑 ,9.0,明明这么痛苦，这么难过，为什么就是不能放弃跑步？
154,https://img9.doubanio.com/view/subject/s/public/s24964086.jpg,霸王别姬,李碧华 ,李碧华 ,9.1,人间，只是抹去了脂粉的脸
155,https://img2.doubanio.com/view/subject/s/public/s4421443.jpg,不能承受的生命之轻:中文全译本百万纪念版,米兰·昆德拉 ,米兰·昆德拉 ,8.8,
156,https://img1.doubanio.com/view/subject/s/public/s33503989.jpg,一间只属于自己的房间,[英] 弗吉尼亚·伍尔夫 ,[英] 弗吉尼亚·伍尔夫 ,9.2,
157,https://img9.doubanio.com/view/subject/s/public/s26040205.jpg,球状闪电,刘慈欣 ,刘慈欣 ,8.7,量子之外，没有真相
158,https://img2.doubanio.com/view/subject/s/public/s1325863.jpg,古文观止,吴楚材 ,吴楚材 ,9.1,收录自先秦至明末的散文二百二十二篇
159,https://img1.doubanio.com/view/subject/s/public/s2652540.jpg,草房子,曹文轩 ,曹文轩 ,9.0,男孩桑桑刻骨铭心、终身难忘的六年小学生活
160,https://img2.doubanio.com/view/subject/s/public/s32330891.jpg,2001：太空漫游:《太空漫游四部曲》第1部,[英] 阿瑟·克拉克 ,[英] 阿瑟·克拉克 ,9.3,
161,https://img1.doubanio.com/view/subject/s/public/s5763939.jpg,安娜·卡列尼娜,[俄] 列夫·托尔斯泰 ,[俄] 列夫·托尔斯泰 ,9.2,
162,https://img9.doubanio.com/view/subject/s/public/s29827014.jpg,恶意,[日] 东野圭吾 ,[日] 东野圭吾 ,8.7,
163,https://img9.doubanio.com/view/subject/s/public/s2170315.jpg,我也有一个梦想:近距离看美国之三,林达 ,林达 ,9.0,在法治国家里，民众怎样运用法律
164,https://img1.doubanio.com/view/subject/s/public/s6180859.jpg,我的阿勒泰,李娟 ,李娟 ,8.9,描写疆北阿勒泰地区生活和风情的原生态散文集
165,https://img2.doubanio.com/view/subject/s/public/s1670932.jpg,社会心理学:（第8版）,[美] 戴维·迈尔斯 ,[美] 戴维·迈尔斯 ,9.0,人们是如何思索、影响他人并与他人建立联系的
166,https://img1.doubanio.com/view/subject/s/public/s10431840.jpg,激荡三十年（上）:中国企业1978-2008,吴晓波 ,吴晓波 ,8.8,这是一个最好的时代，也是一个最坏的时代
167,https://img1.doubanio.com/view/subject/s/public/s4638950.jpg,倾城之恋,张爱玲 ,张爱玲 ,8.7,“一对平凡的夫妻”之间的“一点真心”
168,https://img2.doubanio.com/view/subject/s/public/s1137441.jpg,麦琪的礼物:欧·亨利短篇小说经典,[美] 欧·亨利 ,[美] 欧·亨利 ,8.7,日常的奇迹
169,https://img2.doubanio.com/view/subject/s/public/s1681072.jpg,天朝的崩溃:鸦片战争再研究,茅海建 ,茅海建 ,9.2,鸦片战争再研究
170,https://img1.doubanio.com/view/subject/s/public/s10199588.jpg,半生缘:张爱玲全集04——小说,张爱玲 ,张爱玲 ,9.1,
171,https://img2.doubanio.com/view/subject/s/public/s28061231.jpg,海风中失落的血色馈赠,[加拿大] 阿利斯泰尔·麦克劳德 ,[加拿大] 阿利斯泰尔·麦克劳德 ,9.0,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
172,https://img1.doubanio.com/view/subject/s/public/s33779178.jpg,西线无战事,[德] 埃里希·玛丽亚·雷马克 ,[德] 埃里希·玛丽亚·雷马克 ,9.5,
173,https://img9.doubanio.com/view/subject/s/public/s27218035.jpg,冰与火之歌:（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,乔治·马丁 ,乔治·马丁 ,9.5,乔治·R·R·马丁史诗奇幻小说
174,https://img9.doubanio.com/view/subject/s/public/s3380714.jpg,额尔古纳河右岸,迟子建 ,迟子建 ,9.0,东北少数民族鄂温克人生存现状及百年沧桑
175,https://img9.doubanio.com/view/subject/s/public/s4124434.jpg,孩子你慢慢来,龙应台 ,龙应台 ,8.7,我们现在怎样做母亲
176,https://img9.doubanio.com/view/subject/s/public/s4093514.jpg,万物有灵且美,[英] 吉米·哈利 ,[英] 吉米·哈利 ,8.9,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
177,https://img1.doubanio.com/view/subject/s/public/s26546959.jpg,一桩事先张扬的凶杀案,[哥伦比亚] 加西亚·马尔克斯 ,[哥伦比亚] 加西亚·马尔克斯 ,8.7,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
178,https://img1.doubanio.com/view/subject/s/public/s1520169.jpg,九州·缥缈录,江南 ,江南 ,8.8,乱世的英雄史诗
179,https://img1.doubanio.com/view/subject/s/public/s33710398.jpg,平面国:多维空间传奇往事,埃德温·A·艾勃特 ,埃德温·A·艾勃特 ,9.2,
180,https://img9.doubanio.com/view/subject/s/public/s1127135.jpg,情书,[日] 岩井俊二 ,[日] 岩井俊二 ,8.6,一场同名同姓的误会，两段可贵的爱情
181,https://img1.doubanio.com/view/subject/s/public/s34157889.jpg,理想国,[古希腊] 柏拉图 ,[古希腊] 柏拉图 ,8.8,人类历史上最早的乌托邦
182,https://img9.doubanio.com/view/subject/s/public/s2280094.jpg,浮生六记,（清）沈复 ,（清）沈复 ,8.7,苟不记之笔墨，未免有辜彼苍之厚
183,https://img1.doubanio.com/view/subject/s/public/s3435158.jpg,罗生门,[日] 芥川龙之介 ,[日] 芥川龙之介 ,8.7,人生，远比地狱更像地狱
184,https://img2.doubanio.com/view/subject/s/public/s29675003.jpg,天生有罪:特雷弗·诺亚的变色人生,[南非] 特雷弗·诺亚 ,[南非] 特雷弗·诺亚 ,9.1,
185,https://img1.doubanio.com/view/subject/s/public/s4243447.jpg,送你一颗子弹,刘瑜 ,刘瑜 ,8.6,在这本书里，被“审视”的东西杂七杂八
186,https://img1.doubanio.com/view/subject/s/public/s1683067.jpg,尼罗河上的惨案,[英] 阿加莎·克里斯蒂 ,[英] 阿加莎·克里斯蒂 ,8.7,阿加莎·克里斯蒂代表作
187,https://img9.doubanio.com/view/subject/s/public/s26720726.jpg,最好的我们,八月长安 ,八月长安 ,8.8,耿耿余淮
188,https://img1.doubanio.com/view/subject/s/public/s3099438.jpg,渴望生活:梵高传,[美] 欧文·斯通 ,[美] 欧文·斯通 ,9.2,梵高悲惨而成就辉煌的人生
189,https://img2.doubanio.com/view/subject/s/public/s33984963.jpg,从零开始的女性主义,[日本] 上野千鹤子 ,[日本] 上野千鹤子 ,8.7,
190,https://img9.doubanio.com/view/subject/s/public/s34097535.jpg,倚天屠龙记,金庸 ,金庸 ,8.7,不识张郎是张郎
191,https://img2.doubanio.com/view/subject/s/public/s33638812.jpg,地下室手记,(俄罗斯) 陀思妥耶夫斯基 ,(俄罗斯) 陀思妥耶夫斯基 ,9.3,
192,https://img1.doubanio.com/view/subject/s/public/s1469589.jpg,野火集:二十年纪念版,龙应台 ,龙应台 ,8.8,中国人，你为什么不生气
193,https://img1.doubanio.com/view/subject/s/public/s3696740.jpg,银河系漫游指南,[英] 道格拉斯·亚当斯 ,[英] 道格拉斯·亚当斯 ,8.8,一场穿越银河的冒险
194,https://img1.doubanio.com/view/subject/s/public/s1070937.jpg,一千零一夜,纳训 ,纳训 ,8.7,阿拉伯地区的古代民间传说
195,https://img1.doubanio.com/view/subject/s/public/s2563279.jpg,雨季不再来,三毛 ,三毛 ,8.7,三毛少女时代的成长感受
196,https://img2.doubanio.com/view/subject/s/public/s28622011.jpg,雕刻时光,[苏] 安德烈·塔可夫斯基 ,[苏] 安德烈·塔可夫斯基 ,9.5,
197,https://img1.doubanio.com/view/subject/s/public/s23579217.jpg,雷雨,曹禺 ,曹禺 ,8.7,一幕人生大悲剧，在一个雷雨夜爆发
198,https://img2.doubanio.com/view/subject/s/public/s29423902.jpg,当呼吸化为空气,[美] 保罗·卡拉尼什 ,[美] 保罗·卡拉尼什 ,8.9,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
199,https://img1.doubanio.com/view/subject/s/public/s2142329.jpg,孙子兵法,孙武 ,孙武 ,9.4,我国最古老最杰出的一部兵书
200,https://img1.doubanio.com/view/subject/s/public/s3286369.jpg,荒原狼,[德]赫尔曼·黑塞 ,[德]赫尔曼·黑塞 ,9.0,“超现实主义”风格作品，德国的《尤利西斯》
201,https://img1.doubanio.com/view/subject/s/public/s4293097.jpg,你好，旧时光（上下）,八月长安 ,八月长安 ,8.7,原作名切题
202,https://img9.doubanio.com/view/subject/s/public/s28033064.jpg,你一生的故事:特德·姜科幻小说集,[美] 特德·姜 ,[美] 特德·姜 ,8.8,特德·姜科幻小说集
203,https://img1.doubanio.com/view/subject/s/public/s1436519.jpg,水浒传（全二册）,[明] 施耐庵 ,[明] 施耐庵 ,8.7,替天行道
204,https://img9.doubanio.com/view/subject/s/public/s5804746.jpg,论语,刘胜利 ,刘胜利 ,9.1,仁远乎哉？我欲仁，斯仁至矣
205,https://img1.doubanio.com/view/subject/s/public/s33562530.jpg,檀香刑,莫言 ,莫言 ,9.3,
206,https://img1.doubanio.com/view/subject/s/public/s29497110.jpg,亲密关系（第6版）,[美] 罗兰·米勒 (Rowland S. Miller) ,[美] 罗兰·米勒 (Rowland S. Miller) ,9.3,
207,https://img9.doubanio.com/view/subject/s/public/s29417056.jpg,现代艺术150年:一个未完成的故事,[英] 威尔·贡培兹 ,[英] 威尔·贡培兹 ,9.2,
208,https://img2.doubanio.com/view/subject/s/public/s1738643.jpg,枪炮、病菌与钢铁:人类社会的命运,[美] 贾雷德·戴蒙德 ,[美] 贾雷德·戴蒙德 ,8.7,人类社会的命运
209,https://img9.doubanio.com/view/subject/s/public/s28284246.jpg,银河帝国：基地七部曲:百万册纪念版,[美] 艾萨克·阿西莫夫 ,[美] 艾萨克·阿西莫夫 ,9.5,阿西莫夫经典科幻小说
210,https://img9.doubanio.com/view/subject/s/public/s5765615.jpg,庄子,孙通海 译注 ,孙通海 译注 ,9.4,野马也，尘埃也，生物之以息相吹也
